Time,Force_X_post,Force_Y_post,Force_Z_post
815.275,35.42211321520674,4.731577454090456,-932.1327933889396
815.375,34.886087750163966,4.760951712077544,-934.526279465233
815.475,33.86594450514444,4.804343196947918,-940.1347645692123
815.575,33.17903231554002,4.862146334048184,-953.7998304449212
815.675,33.0479159055003,4.937185310786643,-976.0435248293426
815.775,33.227007975142115,5.0300248538772525,-1002.9244264381335
815.875,33.78669846955651,5.15647326287371,-1029.6739692833319
815.975,34.43358495611602,5.331951764075335,-1051.0364177469678
816.075,34.56068892422925,5.5311487564377195,-1063.215970202932
816.175,34.181318379163365,5.714476076754775,-1067.026975368315
816.275,33.926419885411676,5.86680906075416,-1066.3953056395048
816.375,34.33849660672322,5.988347902630297,-1063.6236945961525
816.475,34.87860126948473,6.081859251038481,-1056.39909172602
816.575,34.53997891977032,6.145850143653408,-1042.4257245496765
816.675,33.64347953647017,6.174476158489318,-1026.0032241826318
816.775,33.20432023139574,6.1712249341963545,-1014.17100218209
816.875,33.37174462036848,6.152658962623224,-1009.1985559510699
816.975,33.734699858497095,6.136657587892225,-1008.8216253448086
817.075,34.240918074987086,6.129540908982131,-1009.8351970720781
817.175,35.12481497003092,6.132012814009862,-1008.271988075578
817.275,35.85276799058258,6.16185080325329,-999.0340701670608
817.375,35.546824804165205,6.232224817696384,-981.1734091871833
817.475,34.63390167816304,6.319441048584168,-961.7098537504619
817.575,34.150961834952355,6.40161004415329,-948.6814919287955
817.675,34.240141692221535,6.487859786018579,-943.7347791562295
817.775,34.490271156508356,6.591015915600498,-943.7806469534646
817.875,34.636186944414874,6.7120604296720385,-945.4434464941486
817.975,34.62685395876259,6.845724407866286,-946.8467311361377
818.075,34.428976328124946,6.976706150373294,-947.3973160404221
818.175,33.99817150030542,7.08870104156793,-947.4481256215098
818.275,33.6128660925222,7.201751989853781,-948.4396851567384
818.375,33.63079502225135,7.3483659729029815,-951.4939424682309
818.475,33.86402111404411,7.513468761174944,-955.5054745976928
818.575,33.93185347799192,7.666044775221951,-958.4149022155896
818.675,33.80546081406596,7.802604950205749,-959.50540740782
818.775,33.620208668421974,7.928194804672209,-959.3277404843694
818.875,33.15931725239757,8.057547895232073,-958.4686481228763
818.975,31.896316576355353,8.216377894609387,-958.7105154756956
819.075,30.42081568427838,8.377687936959607,-966.1869709398193
819.175,30.370700989618083,8.473327453678277,-986.5424271543535
819.275,31.75269157382281,8.515188024415203,-1014.5471350931383
819.375,32.8781482467886,8.579233686390907,-1037.5712070078039
819.475,32.96021192791248,8.686632676257538,-1048.9169754255076
819.575,32.4968944822799,8.807507795565712,-1050.859442326161
819.675,32.044383755931975,8.9215521484706,-1048.5564073808216
819.775,31.79392387098549,9.026394721866804,-1045.690805901174
819.875,31.719864686024945,9.125889640680745,-1043.7462995408114
819.975,31.73399573246303,9.224519900545626,-1042.790027164466
820.075,31.767731477892,9.325452422029809,-1042.3912986903579
820.175,31.790243937476646,9.430412120568816,-1042.1571509753721
820.275,31.79697043295185,9.540122329266326,-1041.8916982371472
820.375,31.793867895804137,9.654706240624996,-1041.556748411962
820.475,31.787571791606325,9.773901123232386,-1041.1848589013125
820.575,31.782062389042036,9.897143351723198,-1040.8172363912533
820.675,31.7790025602715,10.023615875839319,-1040.478889096856
820.775,31.779016840821054,10.1523115701364,-1040.1776404246662
820.875,31.782627216833333,10.2821227995406,-1039.9115098388934
820.975,31.790624624380737,10.41194364946355,-1039.6755011810583
821.075,32.12516485305733,10.553711372569904,-1039.7095662996194
821.175,33.19330727445181,10.723478890104891,-1039.067533798415
821.275,34.100399993916874,10.885088737141086,-1033.2236148166407
821.375,33.58581706219952,10.98157380862294,-1019.0472051951406
821.475,32.55421826387596,11.026465522874194,-1001.9133714430669
821.575,32.60132708678064,11.051925280153196,-989.5146360587815
821.675,33.3338750886936,11.041686994925294,-981.7290295168011
821.775,33.041406778090206,11.341053907797626,-969.7920743424777
821.875,32.73299463131516,11.435470158274832,-960.4123368226481
821.983,33.554332103570594,10.932588903050274,-959.062593564076
822.083,33.59629413903053,10.9171492965936,-951.7658145737283
822.183,33.477898403029634,10.915663776063843,-942.2191100204062
822.283,33.68048180775661,10.791982795704293,-934.1513339467896
822.383,33.121306268288244,11.362496184753203,-922.0001590541598
822.483,32.21947574009524,12.29580496890812,-910.5736039610322
822.583,31.585356777709816,13.075819071033031,-904.1226066774517
822.683,31.185810037671022,13.688880527753938,-902.3554384002451
822.783,30.798913775106342,14.241094049984262,-902.9420609513772
